Sample,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
DMSO-1-STAT5_S1_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-1-input_S1_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
DMSO-2-H3K27ac2_S13_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac2_S13_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-H3K27ac_S13_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
DMSO-2-H3K27ac_S13_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
DMSO-2-H3K27ac_S13_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
DMSO-2-H3K27ac_S13_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
DMSO-2-H3K27ac_S13_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
DMSO-2-H3K27ac_S13_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
DMSO-2-H3K27ac_S13_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
DMSO-2-H3K27ac_S13_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
DMSO-2-STAT5_S5_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-STAT5_S5_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-STAT5_S5_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
